review_text,rating,scrape_date,review_date,category,word_count
Very very nice roof top bar. The cocktails are fantastic and special. The perfect blend of sweet/fragrance with alochol taste. Suitable for men or women to savour. I ordered the 小熊甜心 and it was very very good. …,5,1/2/2026,1/2/2025,Drinks & Alcohol,38
Here for after party! Great view and great atmosphere,4,1/2/2026,12/3/2025,Crowd & Atmosphere,9
"Great cocktails and a nice atmosphere, but paying around 12 euros for a single tequila shot is really overpriced. Overall a cool spot, but the drink prices feel a bit excessive.",2,1/2/2026,11/3/2025,Drinks & Alcohol,31
"Great cocktails and a nice atmosphere, but paying around 12 euros for a single tequila shot is really overpriced. Overall a cool spot, but the drink prices feel a bit excessive.",2,1/2/2026,11/3/2025,Crowd & Atmosphere,31
"Great cocktails and a nice atmosphere, but paying around 12 euros for a single tequila shot is really overpriced. Overall a cool spot, but the drink prices feel a bit excessive.",2,1/2/2026,11/3/2025,Service & Staff,31
"Great cocktails and a nice atmosphere, but paying around 12 euros for a single tequila shot is really overpriced. Overall a cool spot, but the drink prices feel a bit excessive.",2,1/2/2026,11/3/2025,Price & Entry,31
"Frank delivers the upscale lounge experience with a balcony overseeing the famous 101 tower. Extensive bar with specialty cocktails, locating at the heart of many other different night clubs. …",5,1/2/2026,1/4/2020,Drinks & Alcohol,30
"Nice place for Taipei 101 view. Chill place for drinks and dancing a bit. Good vibe in general, only the cocktails are needed to improve..some taste are really awful..my friend can’t even drink it.",4,1/2/2026,1/3/2022,Drinks & Alcohol,34
"Nice place for Taipei 101 view. Chill place for drinks and dancing a bit. Good vibe in general, only the cocktails are needed to improve..some taste are really awful..my friend can’t even drink it.",4,1/2/2026,1/3/2022,Crowd & Atmosphere,34
"Nice place for Taipei 101 view. Chill place for drinks and dancing a bit. Good vibe in general, only the cocktails are needed to improve..some taste are really awful..my friend can’t even drink it.",4,1/2/2026,1/3/2022,Service & Staff,34
"Nice place for Taipei 101 view. Chill place for drinks and dancing a bit. Good vibe in general, only the cocktails are needed to improve..some taste are really awful..my friend can’t even drink it.",4,1/2/2026,1/3/2022,Facilities & Safety,34
"One of the best bars in Taipei, with an awesome up close view of Taipei 101 from the balcony and roof floor. Bartenders are friendly and easy going, and willing to customize a drink for you on weekdays. Please don't expect superb bar …",5,1/2/2026,1/4/2019,Drinks & Alcohol,44
"One of the best bars in Taipei, with an awesome up close view of Taipei 101 from the balcony and roof floor. Bartenders are friendly and easy going, and willing to customize a drink for you on weekdays. Please don't expect superb bar …",5,1/2/2026,1/4/2019,Service & Staff,44
While Frank’s location is really good. The service that Lilac provided was simply outstanding. Her attitude and personality really made our visit a great experience. Service is everything!,5,1/2/2026,1/2/2025,Service & Staff,28
While Frank’s location is really good. The service that Lilac provided was simply outstanding. Her attitude and personality really made our visit a great experience. Service is everything!,5,1/2/2026,1/2/2025,Facilities & Safety,28
Nice atmosphere and cocktails.  You can see Taipei 101 from the rooftop. A nice place to meet up with friends …,5,1/2/2026,1/3/2022,Drinks & Alcohol,21
Nice atmosphere and cocktails.  You can see Taipei 101 from the rooftop. A nice place to meet up with friends …,5,1/2/2026,1/3/2022,Crowd & Atmosphere,21
Nice atmosphere and cocktails.  You can see Taipei 101 from the rooftop. A nice place to meet up with friends …,5,1/2/2026,1/3/2022,Facilities & Safety,21
Chill rooftop bar with a good view and fun cocktail menu. Was not busy the night we went but it was overcast and just rained.,5,1/2/2026,2/6/2025,Drinks & Alcohol,25
Chill rooftop bar with a good view and fun cocktail menu. Was not busy the night we went but it was overcast and just rained.,5,1/2/2026,2/6/2025,Crowd & Atmosphere,25
"Great rooftop with views of Taipei 101, and a really slick deep house vibe. The staff are very friendly, although go with a simple mixed drink as the cocktails on the menu are extremely sweet (like everywhere else in Taiwan)",5,1/2/2026,1/4/2019,Drinks & Alcohol,40
"Great rooftop with views of Taipei 101, and a really slick deep house vibe. The staff are very friendly, although go with a simple mixed drink as the cocktails on the menu are extremely sweet (like everywhere else in Taiwan)",5,1/2/2026,1/4/2019,Crowd & Atmosphere,40
"Great rooftop with views of Taipei 101, and a really slick deep house vibe. The staff are very friendly, although go with a simple mixed drink as the cocktails on the menu are extremely sweet (like everywhere else in Taiwan)",5,1/2/2026,1/4/2019,Service & Staff,40
Nice outdoor area close to 101,4,1/2/2026,10/4/2025,Service & Staff,6
Rude attitude with overpriced nonsense. They will throw away your belongings without your consent. Very impressive👏 Totally recommend for those masochists who feel like life is going too well. Thanks again for ruining our night Frank Taipei ^^ …,1,1/2/2026,1/3/2023,Service & Staff,39
Rude attitude with overpriced nonsense. They will throw away your belongings without your consent. Very impressive👏 Totally recommend for those masochists who feel like life is going too well. Thanks again for ruining our night Frank Taipei ^^ …,1,1/2/2026,1/3/2023,Price & Entry,39
"The music DJ play here is not very good on a Thursday evening, one star. The drinks comes out very slow. Great view of Taipei 101, five star. Balanced to a 3 star place 😆 …",3,1/2/2026,1/3/2022,Music & DJ,36
"The music DJ play here is not very good on a Thursday evening, one star. The drinks comes out very slow. Great view of Taipei 101, five star. Balanced to a 3 star place 😆 …",3,1/2/2026,1/3/2022,Drinks & Alcohol,36
"The music DJ play here is not very good on a Thursday evening, one star. The drinks comes out very slow. Great view of Taipei 101, five star. Balanced to a 3 star place 😆 …",3,1/2/2026,1/3/2022,Facilities & Safety,36
"Terrible service, unfriendly digital menu and boring cocktails. But the food was good from other kitchen/restaurant, deserved two stars.",2,1/2/2026,1/3/2024,Drinks & Alcohol,19
"Terrible service, unfriendly digital menu and boring cocktails. But the food was good from other kitchen/restaurant, deserved two stars.",2,1/2/2026,1/3/2024,Service & Staff,19
"One of the best rooftop views in Taipei city. Great staff, drinks, and appetizers.",5,1/2/2026,1/3/2021,Drinks & Alcohol,14
"One of the best rooftop views in Taipei city. Great staff, drinks, and appetizers.",5,1/2/2026,1/3/2021,Service & Staff,14
"+ : good view, good atmosphere - : not enough toilets, no red wine by glass, expensive, server can’t explain his cocktail, arrogant behavior …",2,1/2/2026,1/3/2021,Drinks & Alcohol,25
"+ : good view, good atmosphere - : not enough toilets, no red wine by glass, expensive, server can’t explain his cocktail, arrogant behavior …",2,1/2/2026,1/3/2021,Crowd & Atmosphere,25
"+ : good view, good atmosphere - : not enough toilets, no red wine by glass, expensive, server can’t explain his cocktail, arrogant behavior …",2,1/2/2026,1/3/2021,Price & Entry,25
"+ : good view, good atmosphere - : not enough toilets, no red wine by glass, expensive, server can’t explain his cocktail, arrogant behavior …",2,1/2/2026,1/3/2021,Facilities & Safety,25
"Good quality of drinks and good vibes! But much better with open roof terrace, which is sometimes unfortunately without knowledgeable reason closed!",4,1/2/2026,1/3/2024,Drinks & Alcohol,22
"Good quality of drinks and good vibes! But much better with open roof terrace, which is sometimes unfortunately without knowledgeable reason closed!",4,1/2/2026,1/3/2024,Crowd & Atmosphere,22
"Good quality of drinks and good vibes! But much better with open roof terrace, which is sometimes unfortunately without knowledgeable reason closed!",4,1/2/2026,1/3/2024,Facilities & Safety,22
Interesting range of cocktails and drinks in a nice cozy place. Drinks took a little long but service was otherwise great. The rooftop section is also really cool!,4,1/2/2026,1/4/2019,Drinks & Alcohol,28
Interesting range of cocktails and drinks in a nice cozy place. Drinks took a little long but service was otherwise great. The rooftop section is also really cool!,4,1/2/2026,1/4/2019,Service & Staff,28
Interesting range of cocktails and drinks in a nice cozy place. Drinks took a little long but service was otherwise great. The rooftop section is also really cool!,4,1/2/2026,1/4/2019,Facilities & Safety,28
"Super worth going. It is expensive with that the location cannot be otherwise. You can enjoy a drink with the direct view to the 101, just amazing (the picture was taken from the bar terrace). Cocktails are really well made!",5,1/2/2026,1/4/2020,Drinks & Alcohol,40
"Super worth going. It is expensive with that the location cannot be otherwise. You can enjoy a drink with the direct view to the 101, just amazing (the picture was taken from the bar terrace). Cocktails are really well made!",5,1/2/2026,1/4/2020,Price & Entry,40
"Super worth going. It is expensive with that the location cannot be otherwise. You can enjoy a drink with the direct view to the 101, just amazing (the picture was taken from the bar terrace). Cocktails are really well made!",5,1/2/2026,1/4/2020,Facilities & Safety,40
Nice rooftop bar w view of Taipei 101. Great service,5,1/2/2026,10/4/2025,Drinks & Alcohol,10
Nice rooftop bar w view of Taipei 101. Great service,5,1/2/2026,10/4/2025,Service & Staff,10
Had a great time! Other than most places around here you don't have to pay an entrance fee.  Cocktails are around 300-500nt. What made it pleasant is the sight of the 101 and if you feel like taking a break from the music u can just hop outside,5,1/2/2026,1/4/2017,Music & DJ,48
Had a great time! Other than most places around here you don't have to pay an entrance fee.  Cocktails are around 300-500nt. What made it pleasant is the sight of the 101 and if you feel like taking a break from the music u can just hop outside,5,1/2/2026,1/4/2017,Drinks & Alcohol,48
Had a great time! Other than most places around here you don't have to pay an entrance fee.  Cocktails are around 300-500nt. What made it pleasant is the sight of the 101 and if you feel like taking a break from the music u can just hop outside,5,1/2/2026,1/4/2017,Price & Entry,48
Had a great time! Other than most places around here you don't have to pay an entrance fee.  Cocktails are around 300-500nt. What made it pleasant is the sight of the 101 and if you feel like taking a break from the music u can just hop outside,5,1/2/2026,1/4/2017,Facilities & Safety,48
"No star, furniture and decorations look like it's all bought from Ikea. Only serve 3 types of beer. Heineken, Guinness & strong bow. Each $200ntd. Which is normal but the shots were ridiculous...$400ntd for a shot of Jack Daniel. Just a …",1,1/2/2026,1/4/2019,Drinks & Alcohol,42
"No star, furniture and decorations look like it's all bought from Ikea. Only serve 3 types of beer. Heineken, Guinness & strong bow. Each $200ntd. Which is normal but the shots were ridiculous...$400ntd for a shot of Jack Daniel. Just a …",1,1/2/2026,1/4/2019,Crowd & Atmosphere,42
"No star, furniture and decorations look like it's all bought from Ikea. Only serve 3 types of beer. Heineken, Guinness & strong bow. Each $200ntd. Which is normal but the shots were ridiculous...$400ntd for a shot of Jack Daniel. Just a …",1,1/2/2026,1/4/2019,Price & Entry,42
"No star, furniture and decorations look like it's all bought from Ikea. Only serve 3 types of beer. Heineken, Guinness & strong bow. Each $200ntd. Which is normal but the shots were ridiculous...$400ntd for a shot of Jack Daniel. Just a …",1,1/2/2026,1/4/2019,Facilities & Safety,42
"Very young vibes, definitely not a sophisticated club. Music is a little dated.",3,1/2/2026,9/4/2025,Music & DJ,13
"Very young vibes, definitely not a sophisticated club. Music is a little dated.",3,1/2/2026,9/4/2025,Crowd & Atmosphere,13
one bar that you must visit cozy staff with smiling face and willing serve you. Best view as well,5,1/2/2026,1/3/2021,Drinks & Alcohol,19
one bar that you must visit cozy staff with smiling face and willing serve you. Best view as well,5,1/2/2026,1/3/2021,Service & Staff,19
one bar that you must visit cozy staff with smiling face and willing serve you. Best view as well,5,1/2/2026,1/3/2021,Facilities & Safety,19
Pretty friendly atmosphere even for people who does not speak much Chinese. Rooftop has a nice view so would be a nice place to take around whenever your friends visits to Taipei.,5,1/2/2026,1/4/2019,Crowd & Atmosphere,32
Pretty friendly atmosphere even for people who does not speak much Chinese. Rooftop has a nice view so would be a nice place to take around whenever your friends visits to Taipei.,5,1/2/2026,1/4/2019,Service & Staff,32
Pretty friendly atmosphere even for people who does not speak much Chinese. Rooftop has a nice view so would be a nice place to take around whenever your friends visits to Taipei.,5,1/2/2026,1/4/2019,Facilities & Safety,32
