review_text,rating,scrape_date,review_date,category,word_count
"Been there several times, I think it's over hyped. First, the description of a cocktail bar/lounge is misleading, it's a club. (Maybe change this on Google) …",3,2026-01-02,2025-08-05,Drinks & Alcohol,27
"This was a funny experience. My friend and I were actually trying to get into OMNI nightclub, and ended up in the line for KOR accidentally. I was dressed up in a cute miniskirt I wear for work paired with a classy black top and hot suede …",1,2026-01-02,2025-11-03,Crowd & Atmosphere,48
"This was a funny experience. My friend and I were actually trying to get into OMNI nightclub, and ended up in the line for KOR accidentally. I was dressed up in a cute miniskirt I wear for work paired with a classy black top and hot suede …",1,2026-01-02,2025-11-03,Facilities & Safety,48
First time visiting a bar in Taiwan and it was such an incredible experience. The place felt so fancy and i loooved how it looked. Everything was very clean—even the bathrooms—which to me is a quite important factor.  Even smaller details …,5,2026-01-02,2025-09-04,Drinks & Alcohol,42
First time visiting a bar in Taiwan and it was such an incredible experience. The place felt so fancy and i loooved how it looked. Everything was very clean—even the bathrooms—which to me is a quite important factor.  Even smaller details …,5,2026-01-02,2025-09-04,Facilities & Safety,42
Always a blast when I come here. Great atmosphere during the weekends. Shoutout to DiDi and Dora for great service and experience !,5,2026-01-02,2025-09-04,Crowd & Atmosphere,23
Always a blast when I come here. Great atmosphere during the weekends. Shoutout to DiDi and Dora for great service and experience !,5,2026-01-02,2025-09-04,Service & Staff,23
"Was in a short sleeve Ralph Lauren Polo shirt and jeans. Front door staff let in 10 people before us in similar attire and then turned me and my friends away because they said we were dressed too casual, specifically, our shirts. This was …",2,2026-01-02,2025-10-04,Crowd & Atmosphere,45
"Was in a short sleeve Ralph Lauren Polo shirt and jeans. Front door staff let in 10 people before us in similar attire and then turned me and my friends away because they said we were dressed too casual, specifically, our shirts. This was …",2,2026-01-02,2025-10-04,Service & Staff,45
"A high-end bar that provides a great place to network while enjoying drinks, food, and genuine conversations. The crowd typically includes girls aged 22–35 and men aged 30–45 - this isn’t the place for uni students looking for affordable …",5,2026-01-02,2025-08-05,Drinks & Alcohol,40
