review_text,rating,scrape_date,review_date,category,word_count
"Five stars for OMNI in Taipei. The vibe here was honestly so cool from the second we walked in. The music was great, the lighting felt energetic without being overwhelming, and the whole space had this stylish atmosphere that made the night …",5,1/2/2026,12/12/2025,Music & DJ,43
"Five stars for OMNI in Taipei. The vibe here was honestly so cool from the second we walked in. The music was great, the lighting felt energetic without being overwhelming, and the whole space had this stylish atmosphere that made the night …",5,1/2/2026,12/12/2025,Crowd & Atmosphere,43
"Five stars for OMNI in Taipei. The vibe here was honestly so cool from the second we walked in. The music was great, the lighting felt energetic without being overwhelming, and the whole space had this stylish atmosphere that made the night …",5,1/2/2026,12/12/2025,Facilities & Safety,43
"I went on a Sunday night and the place was quite busy, some cheeky girls and I loved the music selection and smoke/lights display. Guys are not allowed shorts too which was disappointing.",4,1/2/2026,10/4/2025,Music & DJ,33
"I went on a Sunday night and the place was quite busy, some cheeky girls and I loved the music selection and smoke/lights display. Guys are not allowed shorts too which was disappointing.",4,1/2/2026,10/4/2025,Crowd & Atmosphere,33
"I went on a Sunday night and the place was quite busy, some cheeky girls and I loved the music selection and smoke/lights display. Guys are not allowed shorts too which was disappointing.",4,1/2/2026,10/4/2025,Facilities & Safety,33
This place was a lot of fun! My friend and I had a blast. $500 NT gets you 3 drink tickets. Dance floor is a bit on the shallow side as most of the real estate is taken up by reserved tables. It is definitely sufficient space as locals tend …,4,1/2/2026,11/3/2025,Drinks & Alcohol,51
This place was a lot of fun! My friend and I had a blast. $500 NT gets you 3 drink tickets. Dance floor is a bit on the shallow side as most of the real estate is taken up by reserved tables. It is definitely sufficient space as locals tend …,4,1/2/2026,11/3/2025,Crowd & Atmosphere,51
This place was a lot of fun! My friend and I had a blast. $500 NT gets you 3 drink tickets. Dance floor is a bit on the shallow side as most of the real estate is taken up by reserved tables. It is definitely sufficient space as locals tend …,4,1/2/2026,11/3/2025,Price & Entry,51
This place was a lot of fun! My friend and I had a blast. $500 NT gets you 3 drink tickets. Dance floor is a bit on the shallow side as most of the real estate is taken up by reserved tables. It is definitely sufficient space as locals tend …,4,1/2/2026,11/3/2025,Facilities & Safety,51
"Didn’t let me and my friend in on a Friday night for no reason, WACK skip this club, may be a private event but they said it was closed and then let a bunch of people in ? Rude",1,1/2/2026,12/19/2025,Crowd & Atmosphere,39
"Didn’t let me and my friend in on a Friday night for no reason, WACK skip this club, may be a private event but they said it was closed and then let a bunch of people in ? Rude",1,1/2/2026,12/19/2025,Service & Staff,39
"Didn’t let me and my friend in on a Friday night for no reason, WACK skip this club, may be a private event but they said it was closed and then let a bunch of people in ? Rude",1,1/2/2026,12/19/2025,Facilities & Safety,39
