review_text,rating_stars,review_date,scrape_date,real_date,category,word_count
It was amazing ！ It was very crowded but I didn’t mind. A lot of smoke inside. The music was ACTUALLY really good. (But is often replayed when u go bk) …,5, 6 months ago,12/31/2025,7/4/2025,Music & DJ,32
It was amazing ！ It was very crowded but I didn’t mind. A lot of smoke inside. The music was ACTUALLY really good. (But is often replayed when u go bk) …,5, 6 months ago,12/31/2025,7/4/2025,Crowd & Atmosphere,32
It was amazing ！ It was very crowded but I didn’t mind. A lot of smoke inside. The music was ACTUALLY really good. (But is often replayed when u go bk) …,5, 6 months ago,12/31/2025,7/4/2025,Facilities & Safety,32
"Had a really great night , it does get really crowded . But all the people there had a really good vibe , I see some reviews were talking about thieves but that wasn't my experience at all , I left my bag at a empty table and no one touched …",5,a week ago,12/31/2025,12/24/2025,Crowd & Atmosphere,52
"First night was cool not many people so got space for dancing and pay ticket entrance 300dollar,even my Thai friend got free enter.second night we go again cause got even guest star and I pay 500dollar and my friend again free for enter.but …",4,6 months ago,12/31/2025,7/4/2025,Crowd & Atmosphere,44
"First night was cool not many people so got space for dancing and pay ticket entrance 300dollar,even my Thai friend got free enter.second night we go again cause got even guest star and I pay 500dollar and my friend again free for enter.but …",4,6 months ago,12/31/2025,7/4/2025,Price & Entry,44
"First night was cool not many people so got space for dancing and pay ticket entrance 300dollar,even my Thai friend got free enter.second night we go again cause got even guest star and I pay 500dollar and my friend again free for enter.but …",4,6 months ago,12/31/2025,7/4/2025,Facilities & Safety,44
"Surprised at the nightlife in Taipei especially on a weekday. Security peeps are good and polite. Unlimited drinks for TWD300, so cheap! I wish they didnt allow smoking inside though.",4, 9 months ago,12/31/2025,4/5/2025,Drinks & Alcohol,30
"Surprised at the nightlife in Taipei especially on a weekday. Security peeps are good and polite. Unlimited drinks for TWD300, so cheap! I wish they didnt allow smoking inside though.",4, 9 months ago,12/31/2025,4/5/2025,Service & Staff,30
"Surprised at the nightlife in Taipei especially on a weekday. Security peeps are good and polite. Unlimited drinks for TWD300, so cheap! I wish they didnt allow smoking inside though.",4, 9 months ago,12/31/2025,4/5/2025,Price & Entry,30
"Surprised at the nightlife in Taipei especially on a weekday. Security peeps are good and polite. Unlimited drinks for TWD300, so cheap! I wish they didnt allow smoking inside though.",4, 9 months ago,12/31/2025,4/5/2025,Facilities & Safety,30
DONT GO HERE. These people don’t care about well being. They are letting way too many people in. People inside can’t breath or even stand and none of the security care so if something happens to you inside it’s on …,1,5 months ago,12/31/2025,8/3/2025,Crowd & Atmosphere,41
DONT GO HERE. These people don’t care about well being. They are letting way too many people in. People inside can’t breath or even stand and none of the security care so if something happens to you inside it’s on …,1,5 months ago,12/31/2025,8/3/2025,Service & Staff,41
"The club was kinda dead at first around 11 but quickly filled with people! Tables are expensive on weekends, so we opted to just be on the dance floor which was awesome! 700 nt will get you 6 drinks which is also a steal! The audience caters to college students and a lot of foreigners at least when we were there!",5,2 years ago,12/31/2025,1/1/2024,Drinks & Alcohol,61
"The club was kinda dead at first around 11 but quickly filled with people! Tables are expensive on weekends, so we opted to just be on the dance floor which was awesome! 700 nt will get you 6 drinks which is also a steal! The audience caters to college students and a lot of foreigners at least when we were there!",5,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,61
"The club was kinda dead at first around 11 but quickly filled with people! Tables are expensive on weekends, so we opted to just be on the dance floor which was awesome! 700 nt will get you 6 drinks which is also a steal! The audience caters to college students and a lot of foreigners at least when we were there!",5,2 years ago,12/31/2025,1/1/2024,Price & Entry,61
500 ntd for guys. 300 ntd for girls.  I had a blast. DJ played New and old hip hop with some top 40. The bouncers and …,5,2 years ago,12/31/2025,1/1/2024,Music & DJ,27
500 ntd for guys. 300 ntd for girls.  I had a blast. DJ played New and old hip hop with some top 40. The bouncers and …,5,2 years ago,12/31/2025,1/1/2024,Service & Staff,27
500 ntd for guys. 300 ntd for girls.  I had a blast. DJ played New and old hip hop with some top 40. The bouncers and …,5,2 years ago,12/31/2025,1/1/2024,Price & Entry,27
"A guy giggled my breast while I was dancing, it is pretty hard to enjoy yourself if you have to be on guard for being touched inappropriately, I believe multiple women were touched in appropriately and aparantly it is the norm. It was mostly Black American rap music.",1,4 months ago,12/31/2025,9/2/2025,Music & DJ,48
"A guy giggled my breast while I was dancing, it is pretty hard to enjoy yourself if you have to be on guard for being touched inappropriately, I believe multiple women were touched in appropriately and aparantly it is the norm. It was mostly Black American rap music.",1,4 months ago,12/31/2025,9/2/2025,Service & Staff,48
"A guy giggled my breast while I was dancing, it is pretty hard to enjoy yourself if you have to be on guard for being touched inappropriately, I believe multiple women were touched in appropriately and aparantly it is the norm. It was mostly Black American rap music.",1,4 months ago,12/31/2025,9/2/2025,Facilities & Safety,48
"for a club like this, the bouncers got a really shitty attitude, lol like hello? it was just a small club in a small city, not some world famous nightclub like berghain or kitkat where people would literally fly there to party, so maybe fix that attitude since you’re not all that??????",1,4 months ago,12/31/2025,9/2/2025,Crowd & Atmosphere,52
"for a club like this, the bouncers got a really shitty attitude, lol like hello? it was just a small club in a small city, not some world famous nightclub like berghain or kitkat where people would literally fly there to party, so maybe fix that attitude since you’re not all that??????",1,4 months ago,12/31/2025,9/2/2025,Service & Staff,52
Hip Hop Club. Went on a Sunday Night. 300 NTD for females and  500 NTD for males with unlimited drinks. You can get 1 drink each time you queue at the bar. 💯 worth it. Packed on a Sunday. Hell yeah …,5,a year ago,12/31/2025,12/31/2024,Music & DJ,42
Hip Hop Club. Went on a Sunday Night. 300 NTD for females and  500 NTD for males with unlimited drinks. You can get 1 drink each time you queue at the bar. 💯 worth it. Packed on a Sunday. Hell yeah …,5,a year ago,12/31/2025,12/31/2024,Drinks & Alcohol,42
Hip Hop Club. Went on a Sunday Night. 300 NTD for females and  500 NTD for males with unlimited drinks. You can get 1 drink each time you queue at the bar. 💯 worth it. Packed on a Sunday. Hell yeah …,5,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,42
Hip Hop Club. Went on a Sunday Night. 300 NTD for females and  500 NTD for males with unlimited drinks. You can get 1 drink each time you queue at the bar. 💯 worth it. Packed on a Sunday. Hell yeah …,5,a year ago,12/31/2025,12/31/2024,Price & Entry,42
Hip Hop Club. Went on a Sunday Night. 300 NTD for females and  500 NTD for males with unlimited drinks. You can get 1 drink each time you queue at the bar. 💯 worth it. Packed on a Sunday. Hell yeah …,5,a year ago,12/31/2025,12/31/2024,Facilities & Safety,42
"2023/08/30 1. People don't dance, they were basically only tryna hitting on sb🥲 …",4,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,14
Firstly worst club for me in Taiwan. Service 0/10 …,1,a year ago,12/31/2025,12/31/2024,Service & Staff,10
Don’t go here. Way too packed. Even the bathroom line takes an hour. It’s packed to the point where you can’t even get past the bar because people keep pushing and punishing you. I told the security about this and they didn’t care at all. Stay away especially for 600NTW,1,5 months ago,12/31/2025,8/3/2025,Drinks & Alcohol,50
Don’t go here. Way too packed. Even the bathroom line takes an hour. It’s packed to the point where you can’t even get past the bar because people keep pushing and punishing you. I told the security about this and they didn’t care at all. Stay away especially for 600NTW,1,5 months ago,12/31/2025,8/3/2025,Crowd & Atmosphere,50
Don’t go here. Way too packed. Even the bathroom line takes an hour. It’s packed to the point where you can’t even get past the bar because people keep pushing and punishing you. I told the security about this and they didn’t care at all. Stay away especially for 600NTW,1,5 months ago,12/31/2025,8/3/2025,Service & Staff,50
Don’t go here. Way too packed. Even the bathroom line takes an hour. It’s packed to the point where you can’t even get past the bar because people keep pushing and punishing you. I told the security about this and they didn’t care at all. Stay away especially for 600NTW,1,5 months ago,12/31/2025,8/3/2025,Facilities & Safety,50
"Honestly, the music is pretty decent in comparison but it’s always so packed it’s hard to dance or enjoy w☹️",3,3 months ago,12/31/2025,10/2/2025,Music & DJ,20
"Honestly, the music is pretty decent in comparison but it’s always so packed it’s hard to dance or enjoy w☹️",3,3 months ago,12/31/2025,10/2/2025,Crowd & Atmosphere,20
"Honestly, the music is pretty decent in comparison but it’s always so packed it’s hard to dance or enjoy w☹️",3,3 months ago,12/31/2025,10/2/2025,Service & Staff,20
"Honestly, the music is pretty decent in comparison but it’s always so packed it’s hard to dance or enjoy w☹️",3,3 months ago,12/31/2025,10/2/2025,Facilities & Safety,20
"Worst club ever too crowded and the people are arrogant there. Haven’t had such bad experience ever, very disappointed by the behavior of the locals there.",1,a month ago,12/31/2025,12/1/2025,Crowd & Atmosphere,26
"It was very very bad, there was no bouncing at all, the whole place was just a dull place, no matter how high the song was.Then the ballroom and the box area is very close to each other, jump if you will accidentally squeeze in, the …",1,6 months ago,12/31/2025,7/4/2025,Music & DJ,47
"It was very very bad, there was no bouncing at all, the whole place was just a dull place, no matter how high the song was.Then the ballroom and the box area is very close to each other, jump if you will accidentally squeeze in, the …",1,6 months ago,12/31/2025,7/4/2025,Crowd & Atmosphere,47
"It was very very bad, there was no bouncing at all, the whole place was just a dull place, no matter how high the song was.Then the ballroom and the box area is very close to each other, jump if you will accidentally squeeze in, the …",1,6 months ago,12/31/2025,7/4/2025,Facilities & Safety,47
this was the worst club experience i’ve ever had. so packed we never even made it to the dance floor. please change something about the people you let in.,1,5 months ago,12/31/2025,8/3/2025,Crowd & Atmosphere,29
this was the worst club experience i’ve ever had. so packed we never even made it to the dance floor. please change something about the people you let in.,1,5 months ago,12/31/2025,8/3/2025,Facilities & Safety,29
"$700 pp, way OVERCROWDED, bouncer literally let everyone in and it was so packed downstairs that you cannot move/ dance/ do anything. Worst of all is people smoke inside. Reminded me of the crowd crush tragedy in South Korea. I have a real bad feeling about this night club.",1,2 years ago,12/31/2025,1/1/2024,Crowd & Atmosphere,49
"$700 pp, way OVERCROWDED, bouncer literally let everyone in and it was so packed downstairs that you cannot move/ dance/ do anything. Worst of all is people smoke inside. Reminded me of the crowd crush tragedy in South Korea. I have a real bad feeling about this night club.",1,2 years ago,12/31/2025,1/1/2024,Service & Staff,49
"$700 pp, way OVERCROWDED, bouncer literally let everyone in and it was so packed downstairs that you cannot move/ dance/ do anything. Worst of all is people smoke inside. Reminded me of the crowd crush tragedy in South Korea. I have a real bad feeling about this night club.",1,2 years ago,12/31/2025,1/1/2024,Facilities & Safety,49
"The vibe is great, and the music is definitely better than the other two clubs in the area. But wow, did you guys go out of your way to train your staff to be this rude? Seriously, every single staff member—rude. Especially those two girls …",1,11 months ago,12/31/2025,2/4/2025,Music & DJ,46
"The vibe is great, and the music is definitely better than the other two clubs in the area. But wow, did you guys go out of your way to train your staff to be this rude? Seriously, every single staff member—rude. Especially those two girls …",1,11 months ago,12/31/2025,2/4/2025,Crowd & Atmosphere,46
"The vibe is great, and the music is definitely better than the other two clubs in the area. But wow, did you guys go out of your way to train your staff to be this rude? Seriously, every single staff member—rude. Especially those two girls …",1,11 months ago,12/31/2025,2/4/2025,Service & Staff,46
"NOT SAFE and a SCAM! Do NOT go here: Way too crowded and not adhering to fire safety capacity. My friend paid for 5 people in cash, and somehow “missed” a person and had to pay twice. Once we all got in, it was WAY too packed you couldn’t …",1,a year ago,12/31/2025,12/31/2024,Crowd & Atmosphere,50
"NOT SAFE and a SCAM! Do NOT go here: Way too crowded and not adhering to fire safety capacity. My friend paid for 5 people in cash, and somehow “missed” a person and had to pay twice. Once we all got in, it was WAY too packed you couldn’t …",1,a year ago,12/31/2025,12/31/2024,Price & Entry,50
"NOT SAFE and a SCAM! Do NOT go here: Way too crowded and not adhering to fire safety capacity. My friend paid for 5 people in cash, and somehow “missed” a person and had to pay twice. Once we all got in, it was WAY too packed you couldn’t …",1,a year ago,12/31/2025,12/31/2024,Facilities & Safety,50
