review_text,rating,scrape_date,review_date,category,word_count
If you like EDM this is probably the best club to go to in Taipei. The VIP tables are well priced and definitely provide a great night life experience. The management/hosts Howard and Max provided excellent service. I will definitely be back!,5,1/2/2026,12/12/2025,Music & DJ,42
If you like EDM this is probably the best club to go to in Taipei. The VIP tables are well priced and definitely provide a great night life experience. The management/hosts Howard and Max provided excellent service. I will definitely be back!,5,1/2/2026,12/12/2025,Service & Staff,42
If you like EDM this is probably the best club to go to in Taipei. The VIP tables are well priced and definitely provide a great night life experience. The management/hosts Howard and Max provided excellent service. I will definitely be back!,5,1/2/2026,12/12/2025,Price & Entry,42
If you like EDM this is probably the best club to go to in Taipei. The VIP tables are well priced and definitely provide a great night life experience. The management/hosts Howard and Max provided excellent service. I will definitely be back!,5,1/2/2026,12/12/2025,Facilities & Safety,42
"Good price, paid 500 twd on the weekend had free drinks all night long. The crowd is good, staff is good. The dj/mc know what the crowd wants and hype them up. Very good wish I was able to to go to this club again.",5,1/2/2026,8/5/2025,Music & DJ,45
"Good price, paid 500 twd on the weekend had free drinks all night long. The crowd is good, staff is good. The dj/mc know what the crowd wants and hype them up. Very good wish I was able to to go to this club again.",5,1/2/2026,8/5/2025,Drinks & Alcohol,45
"Good price, paid 500 twd on the weekend had free drinks all night long. The crowd is good, staff is good. The dj/mc know what the crowd wants and hype them up. Very good wish I was able to to go to this club again.",5,1/2/2026,8/5/2025,Crowd & Atmosphere,45
"Good price, paid 500 twd on the weekend had free drinks all night long. The crowd is good, staff is good. The dj/mc know what the crowd wants and hype them up. Very good wish I was able to to go to this club again.",5,1/2/2026,8/5/2025,Service & Staff,45
"Good price, paid 500 twd on the weekend had free drinks all night long. The crowd is good, staff is good. The dj/mc know what the crowd wants and hype them up. Very good wish I was able to to go to this club again.",5,1/2/2026,8/5/2025,Price & Entry,45
I had a blast here. 400 TWD entry and unlimited drinks all night (on a weeknight). Great music. Great crowd. Highly recommend.,5,1/2/2026,1/2/2025,Music & DJ,22
I had a blast here. 400 TWD entry and unlimited drinks all night (on a weeknight). Great music. Great crowd. Highly recommend.,5,1/2/2026,1/2/2025,Drinks & Alcohol,22
I had a blast here. 400 TWD entry and unlimited drinks all night (on a weeknight). Great music. Great crowd. Highly recommend.,5,1/2/2026,1/2/2025,Crowd & Atmosphere,22
I had a blast here. 400 TWD entry and unlimited drinks all night (on a weeknight). Great music. Great crowd. Highly recommend.,5,1/2/2026,1/2/2025,Price & Entry,22
Music was great and the DJ interacts well with the crowd. co2 sprays from the ceiling and gun hyped the place up. …,5,1/2/2026,9/4/2025,Music & DJ,23
Music was great and the DJ interacts well with the crowd. co2 sprays from the ceiling and gun hyped the place up. …,5,1/2/2026,9/4/2025,Crowd & Atmosphere,23
Music was great and the DJ interacts well with the crowd. co2 sprays from the ceiling and gun hyped the place up. …,5,1/2/2026,9/4/2025,Service & Staff,23
Music was great and the DJ interacts well with the crowd. co2 sprays from the ceiling and gun hyped the place up. …,5,1/2/2026,9/4/2025,Facilities & Safety,23
Was lit!!! But if you're foreigner bring your passport they almost didn't let me in they wouldn't take i.d. but lucily I had a pic of my passport and also it's $400 for all you can drink pretty cool and hot girls everywhere and I went on a Wednesday and it was lit,5,1/2/2026,1/2/2025,Drinks & Alcohol,53
Was lit!!! But if you're foreigner bring your passport they almost didn't let me in they wouldn't take i.d. but lucily I had a pic of my passport and also it's $400 for all you can drink pretty cool and hot girls everywhere and I went on a Wednesday and it was lit,5,1/2/2026,1/2/2025,Crowd & Atmosphere,53
Was lit!!! But if you're foreigner bring your passport they almost didn't let me in they wouldn't take i.d. but lucily I had a pic of my passport and also it's $400 for all you can drink pretty cool and hot girls everywhere and I went on a Wednesday and it was lit,5,1/2/2026,1/2/2025,Service & Staff,53
"Best Club in town. All-you-can-drink service, great view over 101. Staff is serious with their job, but very friendly and supportive. Girls get free entry and all-you-can-drink service - woman can't go wrong with this club. Place is clean, …",5,1/2/2026,1/2/2025,Drinks & Alcohol,40
"Best Club in town. All-you-can-drink service, great view over 101. Staff is serious with their job, but very friendly and supportive. Girls get free entry and all-you-can-drink service - woman can't go wrong with this club. Place is clean, …",5,1/2/2026,1/2/2025,Service & Staff,40
"Best Club in town. All-you-can-drink service, great view over 101. Staff is serious with their job, but very friendly and supportive. Girls get free entry and all-you-can-drink service - woman can't go wrong with this club. Place is clean, …",5,1/2/2026,1/2/2025,Price & Entry,40
"Best Club in town. All-you-can-drink service, great view over 101. Staff is serious with their job, but very friendly and supportive. Girls get free entry and all-you-can-drink service - woman can't go wrong with this club. Place is clean, …",5,1/2/2026,1/2/2025,Facilities & Safety,40
All u can drink for entry fee.  Sounds like a good night waiting to happen.  Music 🎶  beers and cocktails and table service available. …,5,1/2/2026,12/3/2025,Music & DJ,25
All u can drink for entry fee.  Sounds like a good night waiting to happen.  Music 🎶  beers and cocktails and table service available. …,5,1/2/2026,12/3/2025,Drinks & Alcohol,25
All u can drink for entry fee.  Sounds like a good night waiting to happen.  Music 🎶  beers and cocktails and table service available. …,5,1/2/2026,12/3/2025,Service & Staff,25
All u can drink for entry fee.  Sounds like a good night waiting to happen.  Music 🎶  beers and cocktails and table service available. …,5,1/2/2026,12/3/2025,Price & Entry,25
PR host Suu did a great job at hosting! He was so fun and music at wave club is definitely great! Top few clubs in the world! Must go!,5,1/2/2026,4/7/2025,Music & DJ,29
PR host Suu did a great job at hosting! He was so fun and music at wave club is definitely great! Top few clubs in the world! Must go!,5,1/2/2026,4/7/2025,Crowd & Atmosphere,29
PR host Suu did a great job at hosting! He was so fun and music at wave club is definitely great! Top few clubs in the world! Must go!,5,1/2/2026,4/7/2025,Service & Staff,29
Weekend Pricing Before 12am Female: Free …,5,1/2/2026,1/3/2024,Service & Staff,7
Weekend Pricing Before 12am Female: Free …,5,1/2/2026,1/3/2024,Price & Entry,7
"Okay, not sure why there are so many bad reviews on this club. I've been to many countries and its pretty much known that for foreigners you need your passport to enter most established clubs. Aside from that, I went on a Wednesday before …",5,1/2/2026,1/4/2019,Service & Staff,45
"So fun must visit , free entrance for the ladies",5,1/2/2026,2/6/2025,Crowd & Atmosphere,10
"So fun must visit , free entrance for the ladies",5,1/2/2026,2/6/2025,Price & Entry,10
"Amazing club, great local DJs, brutal techno sound and party all night long! (Well only 4pm but still, a good start) This is the place to be if you're in to house, deep house or techno!! Cover is steep but I think after 2 am it's all you …",5,1/2/2026,1/4/2020,Music & DJ,49
"Amazing club, great local DJs, brutal techno sound and party all night long! (Well only 4pm but still, a good start) This is the place to be if you're in to house, deep house or techno!! Cover is steep but I think after 2 am it's all you …",5,1/2/2026,1/4/2020,Price & Entry,49
"Amazing club, great local DJs, brutal techno sound and party all night long! (Well only 4pm but still, a good start) This is the place to be if you're in to house, deep house or techno!! Cover is steep but I think after 2 am it's all you …",5,1/2/2026,1/4/2020,Facilities & Safety,49
Was pretty lit on a Tuesday night! It was fun while there was room to dance.  The unlimited drinks is amazing and they have a nice selection of cocktails. …,5,1/2/2026,1/2/2025,Drinks & Alcohol,30
Was pretty lit on a Tuesday night! It was fun while there was room to dance.  The unlimited drinks is amazing and they have a nice selection of cocktails. …,5,1/2/2026,1/2/2025,Crowd & Atmosphere,30
Was pretty lit on a Tuesday night! It was fun while there was room to dance.  The unlimited drinks is amazing and they have a nice selection of cocktails. …,5,1/2/2026,1/2/2025,Service & Staff,30
"I've been coming regularly over the past two years I've lived in Taipei. The music is always the same, pretty mainstream mild EDM. It's an open bar and ladies get in for free before 11:30 (the line can get crazy …",5,1/2/2026,1/3/2024,Music & DJ,41
"I've been coming regularly over the past two years I've lived in Taipei. The music is always the same, pretty mainstream mild EDM. It's an open bar and ladies get in for free before 11:30 (the line can get crazy …",5,1/2/2026,1/3/2024,Drinks & Alcohol,41
"I've been coming regularly over the past two years I've lived in Taipei. The music is always the same, pretty mainstream mild EDM. It's an open bar and ladies get in for free before 11:30 (the line can get crazy …",5,1/2/2026,1/3/2024,Service & Staff,41
"I've been coming regularly over the past two years I've lived in Taipei. The music is always the same, pretty mainstream mild EDM. It's an open bar and ladies get in for free before 11:30 (the line can get crazy …",5,1/2/2026,1/3/2024,Price & Entry,41
"If you're a foreigner, go here unconditionally. It's the most fun club in Taipei.",5,1/2/2026,9/4/2025,Crowd & Atmosphere,14
"before I went I saw alot of people complain about the staff. I’m a white male foreigner and I decided to give this club a try on a wednesday. staff were helpful, I asked alot like how do I get drinks with the ticket and they helped me, no …",5,1/2/2026,3/8/2025,Drinks & Alcohol,50
"before I went I saw alot of people complain about the staff. I’m a white male foreigner and I decided to give this club a try on a wednesday. staff were helpful, I asked alot like how do I get drinks with the ticket and they helped me, no …",5,1/2/2026,3/8/2025,Crowd & Atmosphere,50
"before I went I saw alot of people complain about the staff. I’m a white male foreigner and I decided to give this club a try on a wednesday. staff were helpful, I asked alot like how do I get drinks with the ticket and they helped me, no …",5,1/2/2026,3/8/2025,Service & Staff,50
"before I went I saw alot of people complain about the staff. I’m a white male foreigner and I decided to give this club a try on a wednesday. staff were helpful, I asked alot like how do I get drinks with the ticket and they helped me, no …",5,1/2/2026,3/8/2025,Price & Entry,50
Wave is my second favorite night club in Taipei. Open bar and double drinks for a small fee. And it super worth it! I totally enjoyed myself every time. Obviously your friends and you make vibes.,5,1/2/2026,1/3/2023,Drinks & Alcohol,36
Wave is my second favorite night club in Taipei. Open bar and double drinks for a small fee. And it super worth it! I totally enjoyed myself every time. Obviously your friends and you make vibes.,5,1/2/2026,1/3/2023,Crowd & Atmosphere,36
Wave is my second favorite night club in Taipei. Open bar and double drinks for a small fee. And it super worth it! I totally enjoyed myself every time. Obviously your friends and you make vibes.,5,1/2/2026,1/3/2023,Price & Entry,36
"I had so much fun here. Admission is about usd20 for women and usd30 for men. Drinks are free, but you need tl get in a line.",5,1/2/2026,1/4/2020,Drinks & Alcohol,27
"I had so much fun here. Admission is about usd20 for women and usd30 for men. Drinks are free, but you need tl get in a line.",5,1/2/2026,1/4/2020,Crowd & Atmosphere,27
"I had so much fun here. Admission is about usd20 for women and usd30 for men. Drinks are free, but you need tl get in a line.",5,1/2/2026,1/4/2020,Price & Entry,27
"Great club, full every weekend! Mainstream music and good energy on the dance floor.",5,1/2/2026,1/4/2020,Music & DJ,14
"Great club, full every weekend! Mainstream music and good energy on the dance floor.",5,1/2/2026,1/4/2020,Crowd & Atmosphere,14
"Just a few Americans exploring Taipei on a Sunday night and we found this place by accident just following the music, was a great time very nice staff, very clean, great vibe.",5,1/2/2026,1/3/2022,Music & DJ,32
"Just a few Americans exploring Taipei on a Sunday night and we found this place by accident just following the music, was a great time very nice staff, very clean, great vibe.",5,1/2/2026,1/3/2022,Crowd & Atmosphere,32
"Just a few Americans exploring Taipei on a Sunday night and we found this place by accident just following the music, was a great time very nice staff, very clean, great vibe.",5,1/2/2026,1/3/2022,Service & Staff,32
"Just a few Americans exploring Taipei on a Sunday night and we found this place by accident just following the music, was a great time very nice staff, very clean, great vibe.",5,1/2/2026,1/3/2022,Facilities & Safety,32
"I visited this night club on a Saturday and experienced a night filled with mostly EDM and mainstream pop, including some kpop hop songs. The music selection was energetic, and the unlimited drinks for 800 Taiwanese dollars were quite a …",5,1/2/2026,1/3/2024,Music & DJ,41
"I visited this night club on a Saturday and experienced a night filled with mostly EDM and mainstream pop, including some kpop hop songs. The music selection was energetic, and the unlimited drinks for 800 Taiwanese dollars were quite a …",5,1/2/2026,1/3/2024,Drinks & Alcohol,41
Came on a Wednesday and only cost 400NT for guys to enter. Got nicely packed around 12:30 and it was kpop night so they played like non-stop back to back bangers. Best club experience of my life compared to different countries around the world. Beers and cocktails were around 300NT.,5,1/2/2026,1/3/2024,Music & DJ,50
Came on a Wednesday and only cost 400NT for guys to enter. Got nicely packed around 12:30 and it was kpop night so they played like non-stop back to back bangers. Best club experience of my life compared to different countries around the world. Beers and cocktails were around 300NT.,5,1/2/2026,1/3/2024,Drinks & Alcohol,50
Came on a Wednesday and only cost 400NT for guys to enter. Got nicely packed around 12:30 and it was kpop night so they played like non-stop back to back bangers. Best club experience of my life compared to different countries around the world. Beers and cocktails were around 300NT.,5,1/2/2026,1/3/2024,Crowd & Atmosphere,50
Came on a Wednesday and only cost 400NT for guys to enter. Got nicely packed around 12:30 and it was kpop night so they played like non-stop back to back bangers. Best club experience of my life compared to different countries around the world. Beers and cocktails were around 300NT.,5,1/2/2026,1/3/2024,Price & Entry,50
Came on a Wednesday and only cost 400NT for guys to enter. Got nicely packed around 12:30 and it was kpop night so they played like non-stop back to back bangers. Best club experience of my life compared to different countries around the world. Beers and cocktails were around 300NT.,5,1/2/2026,1/3/2024,Facilities & Safety,50
Know more popular remix song.,5,1/2/2026,1/2/2025,Music & DJ,5
"Very nice club to go to as an international, but also for locals. Good music to dance to and amazing interior. What I really loved was the balcony where you can relax a bit during the night, great club!",5,1/2/2026,1/3/2024,Music & DJ,39
"Arrived before 11.30pm on a Friday but there was a line so by the time I reached the entrance it was a little over 11.30pm, the bouncer was nice enough to still let us in at the pre-11.30pm cover charge. Did not spend much on drinks at all …",5,1/2/2026,1/3/2024,Drinks & Alcohol,49
"Arrived before 11.30pm on a Friday but there was a line so by the time I reached the entrance it was a little over 11.30pm, the bouncer was nice enough to still let us in at the pre-11.30pm cover charge. Did not spend much on drinks at all …",5,1/2/2026,1/3/2024,Service & Staff,49
"Arrived before 11.30pm on a Friday but there was a line so by the time I reached the entrance it was a little over 11.30pm, the bouncer was nice enough to still let us in at the pre-11.30pm cover charge. Did not spend much on drinks at all …",5,1/2/2026,1/3/2024,Price & Entry,49
"Arrived before 11.30pm on a Friday but there was a line so by the time I reached the entrance it was a little over 11.30pm, the bouncer was nice enough to still let us in at the pre-11.30pm cover charge. Did not spend much on drinks at all …",5,1/2/2026,1/3/2024,Facilities & Safety,49
"The club was really nice!! The music was cool and we had a lot of fun! Also we met Russo, a security guard who was very friendly and helpful!!",5,1/2/2026,1/2/2025,Music & DJ,29
"The club was really nice!! The music was cool and we had a lot of fun! Also we met Russo, a security guard who was very friendly and helpful!!",5,1/2/2026,1/2/2025,Crowd & Atmosphere,29
"The club was really nice!! The music was cool and we had a lot of fun! Also we met Russo, a security guard who was very friendly and helpful!!",5,1/2/2026,1/2/2025,Service & Staff,29
"Check out their Facebook page or Instagram for updates on opening days and events. Tue-sun ladies enter free. Open bar with several cocktail options, drink all you can 😉. There are Locker rooms available to safe keep your coats and purses with a $60NTD charge per item. I give it a 10 out of 10. …",5,1/2/2026,1/3/2024,Drinks & Alcohol,56
"Check out their Facebook page or Instagram for updates on opening days and events. Tue-sun ladies enter free. Open bar with several cocktail options, drink all you can 😉. There are Locker rooms available to safe keep your coats and purses with a $60NTD charge per item. I give it a 10 out of 10. …",5,1/2/2026,1/3/2024,Price & Entry,56
"Check out their Facebook page or Instagram for updates on opening days and events. Tue-sun ladies enter free. Open bar with several cocktail options, drink all you can 😉. There are Locker rooms available to safe keep your coats and purses with a $60NTD charge per item. I give it a 10 out of 10. …",5,1/2/2026,1/3/2024,Facilities & Safety,56
Friendly staff and all the DJ are awesome!,5,1/2/2026,1/2/2025,Music & DJ,8
Friendly staff and all the DJ are awesome!,5,1/2/2026,1/2/2025,Service & Staff,8
Amazing place . It was amazing night 😍 . cocktails is Soo good .it's open bar guys and music is really cool .the staff is so friendly we'll English speaking and you will not find this in all the clubs . The place is huge you naver fill it's small after all it's best club i been in Taipei thank you wave …,5,1/2/2026,1/3/2021,Music & DJ,63
Amazing place . It was amazing night 😍 . cocktails is Soo good .it's open bar guys and music is really cool .the staff is so friendly we'll English speaking and you will not find this in all the clubs . The place is huge you naver fill it's small after all it's best club i been in Taipei thank you wave …,5,1/2/2026,1/3/2021,Drinks & Alcohol,63
Amazing place . It was amazing night 😍 . cocktails is Soo good .it's open bar guys and music is really cool .the staff is so friendly we'll English speaking and you will not find this in all the clubs . The place is huge you naver fill it's small after all it's best club i been in Taipei thank you wave …,5,1/2/2026,1/3/2021,Service & Staff,63
Amazing place . It was amazing night 😍 . cocktails is Soo good .it's open bar guys and music is really cool .the staff is so friendly we'll English speaking and you will not find this in all the clubs . The place is huge you naver fill it's small after all it's best club i been in Taipei thank you wave …,5,1/2/2026,1/3/2021,Facilities & Safety,63
Best nightlife experience with DJ Mag Top 40 nightclub!,5,1/2/2026,1/3/2023,Music & DJ,9
Best club I've been to in Taipei so far. Cover is expensive but there is an unlimited drink line you can frequent to get your money's worth.,5,1/2/2026,1/4/2019,Drinks & Alcohol,27
Best club I've been to in Taipei so far. Cover is expensive but there is an unlimited drink line you can frequent to get your money's worth.,5,1/2/2026,1/4/2019,Price & Entry,27
If you like edm you'll have a great time in this place the sound is quite good and price as low as 400 tdw for unlimited drinks,5,1/2/2026,1/4/2020,Music & DJ,27
If you like edm you'll have a great time in this place the sound is quite good and price as low as 400 tdw for unlimited drinks,5,1/2/2026,1/4/2020,Drinks & Alcohol,27
If you like edm you'll have a great time in this place the sound is quite good and price as low as 400 tdw for unlimited drinks,5,1/2/2026,1/4/2020,Service & Staff,27
If you like edm you'll have a great time in this place the sound is quite good and price as low as 400 tdw for unlimited drinks,5,1/2/2026,1/4/2020,Price & Entry,27
If you like edm you'll have a great time in this place the sound is quite good and price as low as 400 tdw for unlimited drinks,5,1/2/2026,1/4/2020,Facilities & Safety,27
"Unforgettable time at Wave bar, the drinks are incredibably free and unlimites filling in",5,1/2/2026,1/3/2024,Drinks & Alcohol,14
"Unforgettable time at Wave bar, the drinks are incredibably free and unlimites filling in",5,1/2/2026,1/3/2024,Price & Entry,14
"Best be early to get the sofa seats, but free flow for  entry is pretty worth it",5,1/2/2026,1/4/2020,Drinks & Alcohol,17
"Best be early to get the sofa seats, but free flow for  entry is pretty worth it",5,1/2/2026,1/4/2020,Service & Staff,17
"Best be early to get the sofa seats, but free flow for  entry is pretty worth it",5,1/2/2026,1/4/2020,Price & Entry,17
Great music and atmosphere. Loved the idea of unlimited drinks for a decent price 😁 …,5,1/2/2026,1/4/2019,Music & DJ,16
Great music and atmosphere. Loved the idea of unlimited drinks for a decent price 😁 …,5,1/2/2026,1/4/2019,Drinks & Alcohol,16
Great music and atmosphere. Loved the idea of unlimited drinks for a decent price 😁 …,5,1/2/2026,1/4/2019,Crowd & Atmosphere,16
Great music and atmosphere. Loved the idea of unlimited drinks for a decent price 😁 …,5,1/2/2026,1/4/2019,Service & Staff,16
Great music and atmosphere. Loved the idea of unlimited drinks for a decent price 😁 …,5,1/2/2026,1/4/2019,Price & Entry,16
Awesome free flow drinks. Go at around 1130 if u wanna get the cheaper rates,5,1/2/2026,1/4/2019,Drinks & Alcohol,15
Awesome free flow drinks. Go at around 1130 if u wanna get the cheaper rates,5,1/2/2026,1/4/2019,Price & Entry,15
All you can drink with good choices of cocktails and sexy DJ =p,5,1/2/2026,1/4/2019,Music & DJ,13
All you can drink with good choices of cocktails and sexy DJ =p,5,1/2/2026,1/4/2019,Drinks & Alcohol,13
Awesome nightclub! Free entry and open bar for women every Thursday!,5,1/2/2026,1/4/2019,Drinks & Alcohol,11
Awesome nightclub! Free entry and open bar for women every Thursday!,5,1/2/2026,1/4/2019,Price & Entry,11
"All-you-can-drink bar, great music, lights and sound system, talented pole dancers",5,1/2/2026,1/4/2020,Music & DJ,11
"All-you-can-drink bar, great music, lights and sound system, talented pole dancers",5,1/2/2026,1/4/2020,Drinks & Alcohol,11
Awesome. a bit too crowded 👌 …,5,1/2/2026,1/4/2018,Crowd & Atmosphere,7
Free boose and awsm music .... What more for Saturday night fun,5,1/2/2026,1/4/2019,Music & DJ,12
Free boose and awsm music .... What more for Saturday night fun,5,1/2/2026,1/4/2019,Crowd & Atmosphere,12
Free boose and awsm music .... What more for Saturday night fun,5,1/2/2026,1/4/2019,Price & Entry,12
Go here for a fun night,5,1/2/2026,1/4/2020,Crowd & Atmosphere,6
Most beloved open bar in Taipei for exchange students :),5,1/2/2026,1/4/2017,Drinks & Alcohol,10
Probably the most popular and impressive club in Taiwan!,5,1/2/2026,1/4/2019,Music & DJ,9
Probably the most popular and impressive club in Taiwan!,5,1/2/2026,1/4/2019,Service & Staff,9
Great music with a great atmosphere,5,1/2/2026,1/2/2025,Music & DJ,6
Great music with a great atmosphere,5,1/2/2026,1/2/2025,Crowd & Atmosphere,6
fun🩷 …,5,1/2/2026,5/7/2025,Crowd & Atmosphere,2
ladies free drink before 12 midnight ✨,5,1/2/2026,1/2/2025,Drinks & Alcohol,7
ladies free drink before 12 midnight ✨,5,1/2/2026,1/2/2025,Price & Entry,7
"Unlimited drinks, nice people and good music",5,1/2/2026,1/4/2018,Music & DJ,7
"Unlimited drinks, nice people and good music",5,1/2/2026,1/4/2018,Drinks & Alcohol,7
"Unlimited drinks, nice people and good music",5,1/2/2026,1/4/2018,Crowd & Atmosphere,7
Had some exceptional VIP service from staff.,5,1/2/2026,1/3/2021,Service & Staff,7
Great place for dancing and a show!,5,1/2/2026,1/3/2024,Facilities & Safety,7
It's very excellent place for enjoyment,5,1/2/2026,1/3/2022,Facilities & Safety,6
"Too drunk, can't remember why but is was fun as hell👍 …",5,1/2/2026,1/3/2021,Drinks & Alcohol,12
"Too drunk, can't remember why but is was fun as hell👍 …",5,1/2/2026,1/3/2021,Crowd & Atmosphere,12
Cool. High security ^_^ so good.,5,1/2/2026,1/4/2020,Service & Staff,6
Good environment and nice music.,5,1/2/2026,1/3/2024,Music & DJ,5
The best place to spend night with😍 …,5,1/2/2026,1/3/2024,Facilities & Safety,8
Great music n drinks,5,1/2/2026,1/4/2019,Music & DJ,4
